route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
long_distance,miami,33101,sunrise,33322,32.8,39,,miami-to-sunrise,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,weston,33326,37.7,42,,miami-to-weston,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,weston,33326,37.7,42,,miami-to-weston,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,weston,33326,37.7,42,,miami-to-weston,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,weston,33326,37.7,42,,miami-to-weston,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,weston,33326,37.7,42,,miami-to-weston,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,davie,33314,21.9,28,,miami-to-davie,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,davie,33314,21.9,28,,miami-to-davie,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,davie,33314,21.9,28,,miami-to-davie,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,davie,33314,21.9,28,,miami-to-davie,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,davie,33314,21.9,28,,miami-to-davie,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,tamarac,33319,31.8,37,,miami-to-tamarac,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,tamarac,33319,31.8,37,,miami-to-tamarac,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,tamarac,33319,31.8,37,,miami-to-tamarac,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,tamarac,33319,31.8,37,,miami-to-tamarac,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,tamarac,33319,31.8,37,,miami-to-tamarac,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,margate,33063,36.3,43,,miami-to-margate,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,margate,33063,36.3,43,,miami-to-margate,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,margate,33063,36.3,43,,miami-to-margate,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,margate,33063,36.3,43,,miami-to-margate,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
